State,Avg_Quantity,Avg_Cost,Avg_Production,Zone
Andhra Pradesh,114.42625,25062.58625,114.42625,1
Bihar,42.95,13513.92,42.95,1
Gujarat,13.425,19944.2075,13.425,1
Haryana,19.92,22317.120000000003,19.92,1
Karnataka,206.16199999999998,20025.836,206.16199999999998,1
Madhya Pradesh,15.606666666666667,10318.24,15.606666666666667,1
Maharashtra,131.58333333333334,24726.826666666664,131.58333333333334,1
Orissa,17.715,11480.795,17.715,1
Punjab,43.876666666666665,24049.14333333333,43.876666666666665,1
Rajasthan,17.034,11936.632000000001,17.034,1
Tamil Nadu,513.715,44421.46,513.715,0
Uttar Pradesh,81.21714285714286,15939.518571428573,81.21714285714286,1
West Bengal,39.04,24731.06,39.04,1
